gene,logFC,pvals,adj_pvals,cluster
TRPC4AP,2.1721122,0.000648560800598476,0.004622004246414127,7
JAK3,3.790802,0.0006593974362073707,0.004687759518404286,7
TBX21,6.631456,0.0006731545217123801,0.0047683792635174116,7
FGD3,2.4254549,0.000663705037283661,0.004712382471093945,7
IFI16,1.6087911,0.0006535251079349816,0.004652915653841481,7
OPTN,1.742585,0.0006661390634542826,0.004724671247054365,7
GZMH,4.576739,0.0006935146090617537,0.004898120341659356,7
TRANK1,3.692889,0.0007001595271949593,0.0049398507996731445,7
PDCD4,1.3383005,0.0006891883878294998,0.00487166864408625,7
ARL6IP5,1.1078169,0.0006986573427425998,0.004930289487256373,7
PDE3B,4.9783287,0.0007373952778645221,0.0051634603371302585,7
ICOS,4.3190627,0.0007397483078162318,0.005175614933763921,7
ACTR3,1.1585463,0.0007303057562860818,0.005119160997197799,7
ICAM2,2.8968976,0.0007937195769694853,0.00552212162023097,7
WBP1,3.3515897,0.000799712498901254,0.0055592035079061065,7
LMF2,2.292428,0.0007999109379294391,0.0055592384496689845,7
RNF166,2.9936807,0.0008075846580836869,0.005606954464248591,7
CASP4,1.6688726,0.0007948727079426489,0.005528997407114141,7
RFTN1,3.1749656,0.0008162817814868411,0.005661477922425587,7
SYNRG,1.9953429,0.0008469167975579165,0.005852170644188314,7
RCAN3,2.21456,0.0008547605147476379,0.0058978651358054975,7
CENPC,2.1681697,0.0008742275703688617,0.006019804339507696,7
CISH,2.739586,0.0008847488364916163,0.006084757171368731,7
STAT4,4.1731925,0.0009077339124691196,0.0062211489902179685,7
FAM107B,1.5671891,0.0009072067475952174,0.006218806769076474,7
RBPJ,1.5310011,0.0009326570655168645,0.006363883209177122,7
PIAS1,1.8149585,0.0009444740416200256,0.0064374321946712625,7
LSM14A,1.2961769,0.0009384911715162034,0.006399254398012804,7
VSIR,2.2306917,0.0009538097173560348,0.006493146281680284,7
GPR65,2.9638052,0.0009634711920464695,0.006554926420371325,7
CHD2,1.6332091,0.0009719713172078832,0.006606056727552099,7
VOPP1,1.5694615,0.0009706316467645385,0.006599626203958926,7
KANSL1-AS1,2.5189207,0.0009865724712831959,0.00669715184361661,7
SLAMF6,5.395914,0.0010639424931240718,0.00716100335997552,7
RPS6KA1,2.6092076,0.0010555721542687977,0.007112613648046272,7
LSM6,1.4381841,0.0010595722900909024,0.0071378016031209,7
RAB1B,1.5235425,0.001067543422053685,0.007181402711412484,7
PRPF8,1.7768905,0.0010736627731650918,0.007215332212929342,7
GPRIN3,2.6073616,0.0010825794324443735,0.00727379742460271,7
DOCK10,2.6582916,0.0010850090880176208,0.007288662091167439,7
PHF1,2.0615468,0.0011023873087478368,0.00739060018443158,7
TNFRSF4,4.099682,0.0011406101332770621,0.007614889426800546,7
TAZ,2.573861,0.0011400433965767672,0.0076126210560584,7
ITGAL,3.2623038,0.0011780939096456542,0.00783084578347699,7
VAV1,3.8205047,0.0012034923136033466,0.007983470087881058,7
IGHV3-23,5.9097,0.0012099343438912984,0.008017069898944693,7
AHNAK,1.0095848,0.0011688922002948308,0.0077783580816591195,7
H1-10,3.9704993,0.0012192732660041559,0.008064611440553223,7
ORMDL1,1.4253098,0.0012042190307404563,0.007985510183880119,7
SAMD9L,2.13358,0.0012335809345730623,0.008149603727893457,7
PPP1R12A,1.453838,0.0012427637430168295,0.008202191795459952,7
KLRB1,4.261115,0.0012769958416707131,0.008413222849239321,7
BAK1,2.5301147,0.0012704715682263928,0.008373528565510208,7
UTRN,1.6431462,0.001258826743536508,0.00830493859263533,7
PLEC,1.5769329,0.001296210558842581,0.008533110569997842,7
CXCL13,3.4095798,0.001338212448474496,0.008775167885490336,7
SRSF8,1.5926384,0.0013274456372448376,0.008711378227123675,7
CHMP7,2.3983617,0.0013849446024718729,0.009049761720535572,7
SLAMF1,4.4967127,0.0014009338906055787,0.009147113806657916,7
SLA,2.3096976,0.0014169744399576169,0.009237338520860703,7
AKAP13,1.3352485,0.001405184608685116,0.009169513027219352,7
TUT4,1.9853,0.0014324327037662273,0.009325548392279314,7
CYTH4,2.7986732,0.0014523758131891901,0.009442554206276144,7
PHTF2,2.5013092,0.0014579827797150868,0.009473498724220016,7
RORA,2.1317017,0.0014551976085153545,0.009459066470390213,7
LBR,1.8561219,0.0014492844594540036,0.009427938334861663,7
XAF1,1.8745615,0.0014518868194653561,0.009441205081754073,7
TMC6,1.9335561,0.0015062741188608018,0.009762693762456068,7
DDX24,1.1023711,0.001504199175613449,0.009753014604533285,7
GRAP2,4.542798,0.0015581002345586112,0.010065531580764711,7
SENP7,2.6694977,0.001553019039282065,0.010038214178663062,7
DHRS7,1.3525249,0.0015439763268760786,0.009986726183255556,7
PCED1B,3.1234674,0.0015852254058836151,0.01023091116773953,7
VPS13C,1.8572054,0.0015899112290512704,0.010257205719101492,7
ITM2C,2.6989543,0.0016231790307904795,0.010445711410541727,7
POLD4,2.3743396,0.001645327248973131,0.010576067699848176,7
PSMB8-AS1,2.6479123,0.0016658849333253901,0.010695912432746346,7
ISCU,1.0304502,0.0016622593818711412,0.010676721931700486,7
ZZZ3,4.6660714,0.0017231079262669056,0.011027430443602038,7
ANXA2R,3.2507815,0.0017256253917467001,0.011039328869840945,7
CYTH1,1.9439833,0.0017417205213212785,0.011129557631098687,7
NAP1L4,1.270498,0.0017582967533094896,0.011222651075690501,7
GALM,2.3318663,0.0017948952303436713,0.011434488304075419,7
IRF2,1.6447389,0.0017806328045378004,0.011350095951539787,7
MX1,1.641203,0.0017989186315584544,0.011457943376586047,7
TACC3,2.8450298,0.0018377654144406362,0.011672124553257598,7
BTN3A2,2.2071962,0.0018311504081415405,0.011634517112990227,7
HNRNPUL1,1.3019415,0.001829300847123173,0.011627170686632243,7
CCDC85B,1.1361005,0.0018494703110636492,0.01173757496752807,7
C16orf54,5.55947,0.0019064475836894066,0.012046751771764579,7
ARL5A,1.7986478,0.0018759175066421579,0.011885181165524106,7
BCL11B,3.014197,0.0019056438284490741,0.012046211769696644,7
MAPRE2,2.4802806,0.001912231999849602,0.012078752072872975,7
MYO1G,2.8588738,0.0019159738079472459,0.012097830853230152,7
SERPINB9,2.1774297,0.0019130998489706903,0.012081958583002433,7
OVCA2,4.7951317,0.0019437742055862085,0.0122457044758766,7
TNIP2,1.9141021,0.0019270264088979748,0.012158463653281973,7
ERAP1,2.7608602,0.0019700212562634004,0.012390114936495542,7
NCOR1,1.2824414,0.0019497808135276677,0.012281239111085729,7
TMEM35B,4.81144,0.0020029327605734426,0.012580593206440794,7
NELL2,3.5463853,0.0020132748568763496,0.012633723475114994,7
USP10,1.9016035,0.0020264988700419238,0.012697701961531135,7
GPI,1.2167879,0.0020047143038516386,0.012589425662888561,7
EML2,2.1258998,0.002072370191728897,0.012948839158118283,7
IRF3,1.7468565,0.0021026725630674038,0.013112570082155457,7
