names	scores	logFC	pvals	adj_pvals	cluster
KRT5	11.876452	5.2129335	8.310926968272076e-13	3.6923247228866846e-11	13
MGST3	11.68877	1.7026871	5.021464736842804e-14	2.7394107536277908e-12	13
RPS24	11.6501045	1.1828905	1.7241625655140638e-13	8.57152090012648e-12	13
C6orf48	11.556432	2.4602475	3.5248575116791346e-13	1.6651724760454908e-11	13
LDHB	11.3497925	2.3318288	4.797235177922466e-13	2.213260867987585e-11	13
CD63	11.340557	1.5430276	5.723382192535525e-14	3.06658086453409e-12	13
TMEM123	11.308665	2.3339467	7.917821775952335e-13	3.536240481853758e-11	13
C19orf53	11.302256	1.651495	2.5116961271772627e-13	1.2104137902536289e-11	13
SSR3	11.221265	2.0146897	5.78726880813886e-13	2.6302274131949253e-11	13
EPCAM	11.189096	2.850254	1.5414779443790452e-12	6.4709276260848e-11	13
COMMD6	11.129942	1.4054471	1.7249863175174784e-13	8.57152090012648e-12	13
GMPS	10.993639	3.022371	2.9848199812818178e-12	1.1961033093449635e-10	13
FBL	10.852552	2.3964705	2.8861558218036492e-12	1.1621194768201225e-10	13
SNRPE	10.835313	1.4560653	3.222976098965131e-13	1.5311875543256296e-11	13
KRT8	10.754265	2.3148384	1.1470161486882754e-12	4.944995969556998e-11	13
PIGP	10.717372	2.557106	4.045629198189214e-12	1.57600985988925e-10	13
SOD1	10.679914	1.7694532	2.113110321784494e-12	8.696421264168555e-11	13
RTRAF	10.674557	1.6204767	8.75327257943615e-13	3.872402344294556e-11	13
TTYH1	10.629415	5.3762255	1.4285602392493744e-11	5.065046404298442e-10	13
NDUFB5	10.624387	2.6384015	6.825918350047432e-12	2.584064643103171e-10	13
LSR	10.5766	2.1826882	2.567877873313103e-12	1.0439902030156945e-10	13
DBI	10.551779	1.7306383	1.361183340168657e-12	5.771864780353594e-11	13
BRK1	10.524035	1.3103974	6.095182827445801e-13	2.7626828002075623e-11	13
RPL7A	10.44597	1.3105597	4.019315071581406e-12	1.567579614138511e-10	13
EEF1B2	10.391388	1.6360562	3.3985221583117176e-12	1.3458067498457298e-10	13
PDIA6	10.341304	2.1732426	9.110215148814394e-12	3.370684957729992e-10	13
SEC61B	10.2922535	2.0263598	1.050487996901012e-11	3.8591914462274744e-10	13
SSB	10.232461	2.2502549	1.1857454668727518e-11	4.281064446111837e-10	13
PSMB2	10.221998	2.33926	1.3792206990718858e-11	4.900470494445987e-10	13
ATP5PB	10.195661	1.7985619	5.516828148175665e-12	2.114742090490971e-10	13
PSMB5	10.175262	1.6151787	3.2801247485904942e-12	1.301996025946435e-10	13
CD9	10.163506	1.3583837	3.340310861551095e-13	1.58244868089386e-11	13
RPL21	10.163065	1.1779563	3.5896342877089443e-12	1.4131446437094565e-10	13
GAPDH	10.04401	1.4143785	6.926308694443947e-12	2.616163512616491e-10	13
ILF2	9.972856	2.3505368	2.7889532131635508e-11	9.529066861851207e-10	13
TAGLN2	9.920689	1.3714998	2.7048028933353763e-12	1.0920085417054437e-10	13
NUCKS1	9.903335	2.1907306	3.086947308071218e-11	1.0447961620586954e-09	13
TUBB	9.8879595	1.7763686	1.1064042409619106e-11	4.024935427993866e-10	13
SPINT2	9.807797	1.7733406	1.2053132283580602e-11	4.3429455374233374e-10	13
RPL13A	9.804585	1.553049	1.7501340392710063e-11	6.127478685927852e-10	13
MMADHC	9.704048	2.2898765	5.1781135628066236e-11	1.7094400296269386e-09	13
SERP1	9.651879	1.2928674	1.4486848872101093e-11	5.130975691860009e-10	13
MRPL47	9.640044	2.4759548	7.072681605771586e-11	2.296464799024054e-09	13
SLC25A5	9.625161	1.7187614	2.523071821371753e-11	8.670732782851431e-10	13
PRDX2	9.595287	2.0882692	4.9773106271727554e-11	1.646390293353071e-09	13
CBR3	9.512514	3.7563775	1.4807291999610418e-10	4.590123668751691e-09	13
TBCA	9.493363	1.3562757	2.3709351270466516e-11	8.173025189750436e-10	13
ATP5F1B	9.488974	2.382402	1.0627668682225476e-10	3.375593137031484e-09	13
EIF3H	9.35431	1.2561074	1.0604911760512098e-11	3.889276884454447e-10	13
TECR	9.352808	2.1813807	1.1170686445673563e-10	3.5413610025929765e-09	13
TTC3	9.326701	2.0379603	1.028077209450344e-10	3.271606990718595e-09	13
RPS6	9.325517	1.3900318	9.264312865541258e-11	2.9593744554582795e-09	13
EIF4A2	9.323466	1.5715069	5.744936761536493e-11	1.885429783940269e-09	13
OST4	9.312425	1.3601694	5.4679848576526645e-11	1.7998202169826106e-09	13
RPS9	9.288903	1.0195502	7.896287608714294e-11	2.5466286796527515e-09	13
PHGDH	9.2650385	3.3150885	2.432391014894758e-10	7.245544141259776e-09	13
GABRP	9.246084	3.5004632	2.4516127479636814e-10	7.283396207214335e-09	13
ARPC5	9.21183	1.4407828	4.005759185571552e-11	1.3422294589735806e-09	13
RPS18	9.173871	1.3144715	1.1909366655740303e-10	3.747205131333823e-09	13
RPS5	9.121027	1.7272054	2.4432621183054485e-10	7.2714689183747155e-09	13
HSPE1	9.081037	1.415545	8.894532728818104e-11	2.8466748306993132e-09	13
HOOK2	9.058491	2.335147	2.824735579861706e-10	8.274624985514538e-09	13
ERH	9.011326	1.6271354	1.8757617358349545e-10	5.719538580149109e-09	13
TUBA1B	8.969042	2.2218616	2.4512170552916974e-10	7.283396207214335e-09	13
RPL18	8.965867	1.1974748	2.934986852115452e-10	8.575121429164143e-09	13
CCT8	8.947395	2.4724486	4.182763871150804e-10	1.1919633220243766e-08	13
UBE2E3	8.908485	2.3294613	3.9298164482565257e-10	1.1285100470117477e-08	13
ACP1	8.907964	1.7956661	2.4833606564138317e-10	7.3646684152764215e-09	13
HMGN3	8.904356	1.4532261	1.089298243991312e-10	3.456589631193245e-09	13
HMGA1	8.852863	2.148238	3.4617729954260113e-10	1.000959724479171e-08	13
LAPTM4A	8.833974	2.0824776	4.5974963103675504e-10	1.3035048499242434e-08	13
PTGES3	8.801633	1.4173766	2.1365151056246833e-10	6.450121796377813e-09	13
MRPL51	8.792096	1.606347	3.0279918526377923e-10	8.816134959142725e-09	13
PSMB1	8.729977	1.5160918	3.2977155091241854e-10	9.551699127075503e-09	13
RANBP1	8.727655	1.7871431	4.180167919247766e-10	1.1919633220243766e-08	13
CYC1	8.690536	1.745456	4.572688874802597e-10	1.2975681687796438e-08	13
S100A1	8.604661	3.8758166	1.412354750580411e-09	3.700921147595122e-08	13
DYNLT1	8.52036	1.3886205	3.6894425904419014e-10	1.0613001194340636e-08	13
TSPO	8.48091	1.3206114	3.828180814037666e-10	1.1002657470748703e-08	13
CALR	8.431125	1.6466978	8.579253536855584e-10	2.3206188941909124e-08	13
SH3YL1	8.374903	2.7301824	2.101367614678858e-09	5.3476457635769026e-08	13
DSP	8.341636	2.0052097	1.388348025252956e-09	3.64085857036821e-08	13
IGFBP5	8.317864	3.9604547	2.458973041741371e-09	6.196575115931428e-08	13
RPL28	8.277968	1.2738963	2.093576458321114e-09	5.331863932311959e-08	13
MT1X	8.266735	2.257955	1.1840916029866747e-09	3.132146408184231e-08	13
MLF2	8.265685	1.6772476	1.4948833614849282e-09	3.889827992829013e-08	13
ETFB	8.205513	2.6543458	3.3654903426378058e-09	8.275799969385239e-08	13
HDAC2	8.162998	2.0647898	2.6538880150936718e-09	6.632940232060868e-08	13
COX4I1	8.154663	1.0483321	1.2240414463568647e-09	3.2352698307530024e-08	13
TCTEX1D2	8.120731	3.4519851	4.906455591508829e-09	1.1738047574521943e-07	13
PSMB4	8.116295	2.0568414	3.3012673945569126e-09	8.123830497493281e-08	13
CRABP1	8.099926	3.9793305	5.015281571994891e-09	1.1964264523917541e-07	13
CALML3	8.082172	7.5156164	6.438058108840675e-09	1.499575743254341e-07	13
