group	gene	logFC	pvals	adj_pvals
0	RPL37	2.5627658	0.0	0.0
0	COL1A2	3.6654947	0.0	0.0
0	RPS23	1.7131276	0.0	0.0
0	RPL27A	1.8999441	0.0	0.0
0	RPL35	1.5034713	0.0	0.0
0	RPS26	1.6540087	0.0	0.0
0	RPS29	1.5706397	0.0	0.0
0	RPL34	1.5209502	0.0	0.0
0	H3F3A	2.2694936	0.0	0.0
0	DONSON	4.1091914	0.0	0.0
0	RPL37A	1.2129877	0.0	0.0
0	RPL13	1.557775	0.0	0.0
0	NBEAL1	2.373781	0.0	0.0
0	RPL21	1.6949446	0.0	0.0
0	MT-ND1	2.8944952	0.0	0.0
0	MT-ND2	3.0508046	0.0	0.0
0	COL1A1	2.826731	0.0	0.0
0	RPL13A	1.177962	0.0	0.0
0	BASP1	3.8279803	0.0	0.0
0	TMSB10	1.5589266	0.0	0.0
0	MT-ND3	2.9942226	0.0	0.0
0	NME1-NME2	3.6680868	0.0	0.0
0	RPL28	1.077607	0.0	0.0
0	UBA52	1.2932873	0.0	0.0
0	MT-CO1	2.627082	0.0	0.0
0	RPL38	1.0476893	0.0	0.0
0	KCNQ1OT1	2.3999326	0.0	0.0
0	BNC2	3.0703447	0.0	0.0
0	TCEB2	1.5250307	0.0	0.0
0	RHOB	2.0939898	0.0	0.0
0	MT-CO2	2.3524222	0.0	0.0
0	MT-CO3	2.425192	0.0	0.0
0	EGR1	1.703826	0.0	0.0
0	RPS21	1.1340029	0.0	0.0
0	IGFBP7	1.9859462	0.0	0.0
0	C14orf2	1.6055439	0.0	0.0
0	CIRBP	1.225228	0.0	0.0
0	TOMM7	1.2427377	0.0	0.0
0	SNRPE	1.5505065	0.0	0.0
0	COL6A2	1.9195169	0.0	0.0
0	PRSS23	2.9176502	0.0	0.0
0	TCF4	2.3101075	0.0	0.0
0	HNRNPDL	1.9102962	0.0	0.0
0	MT-ND4	2.0981321	0.0	0.0
0	UQCRB	1.3281664	0.0	0.0
0	LMO4	2.9222329	0.0	0.0
0	ATP5L	1.1711903	0.0	0.0
0	MT-CYB	2.0693932	0.0	0.0
0	MALAT1	1.2849026	0.0	0.0
0	PPDPF	1.7061495	0.0	0.0
0	COLEC12	2.2589314	0.0	0.0
0	MT-ATP6	1.9602764	0.0	0.0
0	MT-ND5	1.8037908	0.0	0.0
0	HNRNPA0	1.5644854	0.0	0.0
0	TPM1	1.6716866	0.0	0.0
0	FKBP8	1.7408742	0.0	0.0
0	TXN	1.443607	0.0	0.0
0	HNRNPA1L2	2.4877234	0.0	0.0
0	SDC2	1.6413537	0.0	0.0
0	RPL22L1	1.6646398	0.0	0.0
0	NGFRAP1	1.1372261	0.0	0.0
0	ATP5E	1.0099684	0.0	0.0
0	HMGB1	1.041851	0.0	0.0
0	LY6E	1.6560849	0.0	0.0
0	COL4A2	2.1152775	0.0	0.0
0	COL8A1	2.5781596	0.0	0.0
0	NBL1	2.2065344	0.0	0.0
0	NDUFB1	1.5544218	0.0	0.0
0	NRP2	1.7091142	0.0	0.0
0	RTN1	1.9778908	0.0	0.0
0	PTMS	1.4627889	0.0	0.0
0	TUBB2B	1.8081343	0.0	0.0
0	USMG5	1.1957123	0.0	0.0
0	HOXC9	3.0515573	0.0	0.0
0	C4orf48	1.9169139	0.0	0.0
0	RBP1	2.1719062	0.0	0.0
0	DLX5	2.2621791	0.0	0.0
0	RBM3	1.1526117	0.0	0.0
0	WBP5	1.3941159	0.0	0.0
0	RTN4	1.4912981	0.0	0.0
0	POLR2L	1.3926315	0.0	0.0
0	GLTSCR2	1.2225183	0.0	0.0
0	CCNI	1.1355072	0.0	0.0
0	FGFR1	1.4308902	0.0	0.0
0	ATP6V1G1	1.0268652	0.0	0.0
0	AKAP12	2.6607826	0.0	0.0
0	RUNX2	2.7392948	0.0	0.0
0	COX6C	1.0446608	0.0	0.0
0	ZFHX3	1.6967158	0.0	0.0
0	SEC61B	1.0536263	0.0	0.0
0	TGFBI	1.5792391	0.0	0.0
0	NENF	1.5578097	2.273e-321	3.553e-320
0	NNAT	3.7124004	4.6235112073912e-310	7.18055308747889e-309
0	ITM2C	1.237144	3.004e-321	4.6926e-320
0	FOXP1	1.8452821	3.88817858169574e-310	6.04246700054691e-309
0	CRABP2	1.3480089	7.1215e-320	1.111776e-318
0	NDUFA13	1.007174	2.08010056e-316	3.24102704e-315
0	SEC62	1.3221886	3.343251029849589e-308	5.14215658398152e-307
0	MZT2B	1.3730878	1.6556703446557002e-300	2.458017854322184e-299
0	ZNF428	1.5240784	1.9429041884765992e-289	2.7350464670862162e-288
0	KIF5C	3.8585393	1.983674681652245e-281	2.657901812945476e-280
0	PNISR	1.1404741	8.997186185202056e-289	1.2606075102019775e-287
0	COL5A1	1.716891	1.7349632378380508e-279	2.291281930390539e-278
0	JUN	1.1419067	7.987336316651882e-290	1.129037368116803e-288
0	ANP32B	1.2159214	2.1273880106461118e-279	2.8064389989312223e-278
0	SPOCK1	2.1686068	1.6121795031904129e-274	2.069699258067907e-273
0	GTF2H5	1.7571536	7.794298972685307e-274	9.942199921584772e-273
0	MLLT11	1.6123954	3.755618725152712e-275	4.834398980057987e-274
0	HMGCLL1	2.4601407	1.5713692493726966e-270	1.9676669286516637e-269
0	LGALS1	1.1088922	6.700850043148233e-284	9.111098947241402e-283
0	H1FX	1.9626918	4.472351964808617e-264	5.405014752012518e-263
0	CPXM1	1.9521911	5.3827768412257054e-266	6.585159780644255e-265
0	SSBP4	1.6468987	2.4686923255762574e-263	2.956620648513137e-262
0	EIF5B	1.4431739	6.143109181128681e-264	7.412953697530508e-263
0	ATP5I	1.1455733	2.3606159204335726e-264	2.8644774717914642e-263
0	NFIC	1.6531361	1.5504399917357086e-258	1.8186303718657643e-257
0	TAF7	1.1607302	2.289171106358526e-264	2.779193165014054e-263
0	CHD3	1.911136	6.881828466204153e-250	7.698442068578331e-249
0	NDUFA3	1.3435571	7.529003336257885e-253	8.550388071855644e-252
0	SRSF9	1.2210292	5.5285214520630784e-254	6.329614531785193e-253
0	COL3A1	2.1472726	7.934052716423483e-250	8.863089155474097e-249
0	BMP5	1.7936914	1.8352206911950387e-249	2.0453389222419262e-248
0	CHD9	1.7363441	6.267759669462999e-246	6.8263209478390945e-245
0	SOX4	2.0105374	4.237340229285073e-245	4.589876189484197e-244
0	SLIT3	2.0276246	1.2620466080004442e-242	1.346915159462143e-241
0	SUB1	1.0488989	3.1066737216669045e-247	3.408363091793915e-246
0	RRBP1	1.8752201	2.4392030160205687e-242	2.5951253796336272e-241
0	COL4A1	1.6886222	6.374743138082073e-243	6.8186373718027245e-242
0	PSMB7	1.0651947	1.2255766906190291e-242	1.308576683461398e-241
0	NDUFS6	1.341922	2.5648398136180265e-238	2.67524089935902e-237
0	HOXB2	2.3640387	5.695575866622316e-234	5.8139602220233e-233
0	NFIX	1.9848254	1.7772726686132166e-231	1.7912781464484743e-230
0	PCBP1	1.1101602	1.7562104557140048e-235	1.807370286975553e-234
0	COL23A1	2.2629294	6.266631295708476e-229	6.211314575195175e-228
0	TRIP6	1.4374137	1.88108140125412e-228	1.8544857326378723e-227
0	SERTAD4	1.8812335	1.879599594297704e-226	1.837873405430016e-225
0	PTOV1	1.4089001	3.6361508196251187e-227	3.56856049047903e-226
0	SLIRP	1.2048693	1.6137783890008802e-228	1.5942477377007042e-227
0	TIMM13	1.182087	8.104614891396105e-227	7.944183375308222e-226
0	DRAP1	1.150849	4.165603062184364e-227	4.0864941935300824e-226
0	VAPA	1.0903189	2.153613798518006e-226	2.1040842001288867e-225
0	MMP14	1.5584438	1.2122893679231805e-224	1.1757633743965413e-223
0	MZT2A	1.4572366	6.582372764245937e-225	6.394419553309103e-224
0	HOXC8	3.1056478	8.22503821695517e-221	7.837380041231745e-220
0	LOXL1	2.1083183	1.8555019684080508e-221	1.773702661007808e-220
0	SON	1.0571532	5.981141619244493e-224	5.779836933635173e-223
0	MRPL23	1.6092349	5.1866824301216795e-222	4.9699472628694e-221
0	SIX1	1.0858657	2.9227708489707496e-229	2.8993741349993117e-228
0	ALDH7A1	1.8227961	1.7363762111176255e-216	1.6165398926158135e-215
0	CALD1	1.1663377	3.274590833844695e-218	3.072514279053102e-217
0	ZNF608	2.0680287	7.467089744648941e-212	6.772483330404578e-211
0	UBE2E3	1.1516645	4.791173075767644e-211	4.333982089755474e-210
0	JUND	1.3169746	1.5790919718977323e-207	1.3977476939999282e-206
0	MT-ND4L	1.3538657	4.7797879013225945e-208	4.243436794206848e-207
0	DYNC1I2	1.3490636	4.4237531524636105e-205	3.8459797945282506e-204
0	EMP3	1.194933	4.1938566819232037e-206	3.670123317290789e-205
0	SMOC2	1.8458494	8.182968132905816e-204	7.067968538631579e-203
0	SECISBP2	1.7568722	1.990319069368336e-202	1.7037387681489797e-201
0	MMP2	1.2022394	2.968922998980762e-205	2.5868025998769724e-204
0	PABPN1	1.8301251	2.2566840839721375e-200	1.9065034700233705e-199
0	KRT10	1.2708799	1.4597763486552923e-202	1.2527259035087417e-201
0	PRRX2	2.104517	8.491376921150177e-199	7.110933537225097e-198
0	UBE2S	1.673385	1.2105611184422661e-198	1.0130507442191628e-197
0	FAM53C	1.3813539	3.0333642277007372e-198	2.534019288645425e-197
0	DLX6	2.3223324	7.566362024074899e-196	6.2187175439793604e-195
0	MRPL52	1.4412589	1.6454426848187656e-196	1.3593800584735892e-195
0	BRD3	1.5070752	6.183231356161671e-195	5.0593343942975937e-194
0	FTCD	3.3758156	2.260852265218768e-192	1.825550426307808e-191
0	TLE4	1.5919515	1.704948204574292e-190	1.3628758759626783e-189
0	MAFB	2.4086795	8.182943999243885e-189	6.506365413228591e-188
0	FAM133B	1.4469625	1.2992156131837914e-190	1.0392421344654427e-189
0	LTBP4	1.1640944	2.588461460457716e-191	2.0774574748244024e-190
0	PCSK1N	1.2202879	2.2282386240431306e-192	1.7998238153069757e-191
0	NUDT4	1.5838943	2.058880151756997e-187	1.6273045799594217e-186
0	TCEAL7	1.3519007	2.2899628740040668e-188	1.8159496703433444e-187
0	PLEKHO1	1.7688113	1.7774325261177562e-185	1.3901521820522685e-184
0	PARP1	1.4828844	1.6441253848671334e-185	1.286732553333352e-184
0	FHOD3	3.873298	9.876918345839394e-183	7.58107368669579e-182
0	LYPD6B	3.4191492	8.415866117909139e-183	6.470018320219635e-182
0	SFRP2	1.8486887	8.712282659507514e-186	6.834098536157469e-185
0	KIF26B	2.2455137	1.1361151881236248e-182	8.71471037663654e-182
0	HEY2	2.3392992	1.4743297900585218e-182	1.1290920777723236e-181
