gene	logFC	pvals	adj_pvals	cluster
IRF4	1.7454909	5.170700246845671e-07	1.3073831218320282e-06	18
KLRC1	2.756568	6.735744245626414e-07	1.692398051664928e-06	18
DGKA	1.3216418	9.768526793449814e-07	2.4330079186674505e-06	18
NMRK1	1.0722013	1.0479067751472574e-06	2.6034950935335584e-06	18
KLK8	1.791981	1.137960429234037e-06	2.820306509215603e-06	18
DIO3	2.5614874	1.9363879185389326e-06	4.7460488199483645e-06	18
AQP3	2.2220538	2.427563449930539e-06	5.9281158728462495e-06	18
ZNF736	1.7297186	2.5483336646135402e-06	6.207877380300951e-06	18
OTX2	5.474877	2.822162186373801e-06	6.858231315610695e-06	18
GPC3	2.6857777	3.56322840187659e-06	8.648612625914054e-06	18
RMDN2	2.459643	3.7006168466432174e-06	8.927905540755652e-06	18
CTH	2.4614117	3.7102332761143715e-06	8.940321147263546e-06	18
CABYR	2.2645159	4.056300254149892e-06	9.739016216446318e-06	18
ZMYND12	2.9087358	4.591771156397522e-06	1.0971974089360864e-05	18
DNAJA4	1.0889325	4.657111177777698e-06	1.1114823813311929e-05	18
POLB	1.3891193	6.8329112142047716e-06	1.6230192907849815e-05	18
S100A16	1.108148	7.533322566232569e-06	1.785147527543263e-05	18
FAM218A	3.1638324	7.668143905458057e-06	1.814945303066996e-05	18
ZNF676	4.9945984	8.60707800460118e-06	2.032367887745261e-05	18
FAS	1.2396157	9.376530786901031e-06	2.201063565000242e-05	18
IFIT2	1.6913313	1.0235759731906595e-05	2.391532647641728e-05	18
ZNF165	1.5636741	1.0972868780754337e-05	2.554800647439892e-05	18
IL6	2.3411124	1.1079357745587474e-05	2.5765948245552264e-05	18
ZNF253	1.7570319	1.2904325183375082e-05	2.9905736230301464e-05	18
DBR1	1.461605	1.7062927109941793e-05	3.9135153921884845e-05	18
ZNF345	1.801328	1.9209024676213487e-05	4.38562207219486e-05	18
BCYRN1	2.5650306	1.966277110435714e-05	4.478991139944679e-05	18
TMEM116	1.8494279	2.0245913139839428e-05	4.601343895418052e-05	18
MUC6	2.0531626	2.0437445382614904e-05	4.639601675962521e-05	18
KRT7	1.2560579	2.1038328200879144e-05	4.759802760379897e-05	18
SNORD113-4	3.1401532	2.145836672286002e-05	4.849348411945767e-05	18
ARG2	1.3957281	2.2592639891010848e-05	5.094169084782604e-05	18
ETV7	3.3717017	2.4491884083691065e-05	5.497617078269599e-05	18
GPR83	4.6674333	2.7502189311995945e-05	6.132037750723733e-05	18
RBM11	3.2516155	2.936852283675367e-05	6.526338408167482e-05	18
KLHDC1	1.6813377	3.691400096682573e-05	8.148786085391994e-05	18
CHRDL2	8.475413	3.8550972589778044e-05	8.500765730932314e-05	18
PIGW	2.0007374	3.9727626487055674e-05	8.731346480671576e-05	18
F2R	1.0242193	4.338466030700606e-05	9.482985859454875e-05	18
CCK	5.7500806	5.297701742158992e-05	0.00011516742917736939	18
HBEGF	1.0982115	8.057471070677958e-05	0.00017309282643776492	18
SNORD114-25	4.027756	8.597117457727838e-05	0.00018409245091494298	18
TMEM8C	4.345412	8.770356240645861e-05	0.00018760120300846762	18
BTN3A1	1.1462106	9.05795230136945e-05	0.00019354598934550105	18
TMEFF2	4.0479345	0.00010436783733413599	0.00022229571317174867	18
ULBP2	1.9320961	0.0001066105495359221	0.00022683095645940874	18
LOC100289230	2.8201528	0.0001079254013239523	0.00022938448740478703	18
