names	scores	logFC	pvals	adj_pvals	cluster
AKR1C3	2.4041092	2.63437	0.02174889688968141	0.03914377691542757	11
GBE1	2.4025004	2.2290716	0.021800936253966712	0.039218334692505845	11
CNRIP1	2.4020612	2.941329	0.021831956260368456	0.039255025976672235	11
MED24	2.4015777	2.594565	0.021887352180049908	0.03932427643886286	11
SLC7A11	2.3945916	3.2001593	0.022256246421729464	0.03984907406407016	11
CLDN14	2.3878536	5.438624	0.02263798355098236	0.04044842805651829	11
AKT3	2.3701982	2.6511958	0.02349282875140436	0.04187457898525765	11
CTGF	2.3427224	1.7936352	0.024903337363565748	0.04421808340142981	11
CAVIN2	2.337152	5.9812417	0.025450118831257803	0.04508062755584735	11
PHACTR2	2.3331134	1.6256357	0.02550724138974136	0.045160161444702605	11
TNS1	2.331092	2.0571985	0.02565304649597031	0.04537482374466744	11
APOL3	2.328161	2.1638477	0.02585872659240898	0.045673037647682206	11
IL1R1	2.3226519	2.0126688	0.026181504644079576	0.046198977870044906	11
ITIH5	2.3122609	4.1705027	0.026928334822136007	0.04729593119118274	11
TMEM88	2.3103614	4.42423	0.0270479244172548	0.04745587878525949	11
HLA-F	2.3099566	1.1206851	0.026717980805694708	0.04705677338341492	11
SERPINH1	2.308668	1.2019651	0.026891491877394133	0.04729369942264223	11
FKBP11	2.3081648	1.3439624	0.026931160819011767	0.04729593119118274	11
FGFR1	2.3076499	1.416871	0.02702625225932824	0.04744038104428401	11
PELI1	2.3070247	1.6228905	0.02709233585293276	0.04751123919154559	11
KLF4	2.299209	1.4800447	0.02758310614357215	0.04832602048387819	11
SCARF1	2.2948472	4.6069465	0.028021313811329874	0.04895730318002137	11
HHEX	2.2948055	2.6689284	0.027942248425503885	0.04890083301734206	11
TYROBP	38.264782	7.883925	7.217922655584622e-61	5.334044842477035e-58	2
HLA-DRA	32.12154	6.3046145	1.2582523550102269e-57	6.376811486491356e-55	2
AIF1	31.670248	7.889435	2.4193176788672493e-52	8.939378823414485e-50	2
FCER1G	30.377567	7.8409634	5.86491893658e-51	1.9700795882421002e-48	2
CD74	25.87484	5.1545143	2.2262887641396734e-50	6.855114152913412e-48	2
SRGN	25.285458	5.1927958	1.0741772507952946e-47	3.053142262837395e-45	2
HLA-DPA1	25.17663	5.9301653	1.4663682372862353e-45	3.3863941479828993e-43	2
HLA-DPB1	24.59903	5.8397617	1.7915559408479136e-44	3.89399953025473e-42	2
LAPTM5	23.07533	5.277412	1.6283824029153913e-42	3.0084364893861854e-40	2
CTSS	21.641266	5.6996965	6.187789522029812e-39	9.526617618291731e-37	2
HLA-DRB1	21.159819	5.2776265	3.644549774283203e-39	5.855048441728885e-37	2
CTSB	20.851707	4.366498	8.760594379130029e-39	1.2450152396494408e-36	2
ITGB2	20.39728	5.0823116	2.05313231631368e-37	2.4472012608964665e-35	2
PSAP	19.721495	3.464374	1.5379277376862192e-37	1.8942143302501933e-35	2
GRN	19.434446	3.8581111	2.2748492665596894e-36	2.5471418302842587e-34	2
LYZ	19.036255	8.480625	5.811905139747669e-34	5.651313024044116e-32	2
CD68	18.480476	6.422171	3.6564009651069814e-33	3.295219894163487e-31	2
CST3	18.020388	2.5997193	2.766168387301968e-38	3.7855526633632485e-36	2
CTSZ	17.56843	4.124081	2.2946366328683183e-32	1.9717865949880084e-30	2
HLA-DQB1	16.971144	5.1787066	8.597058729672415e-31	6.482884082885627e-29	2
SAT1	16.417814	2.0832832	4.998465617925719e-36	5.432156017128098e-34	2
CD14	15.869921	7.2798142	2.7238382270379563e-28	1.5483972690623458e-26	2
CTSD	15.802224	4.0107574	5.968662964242266e-29	3.557130589173415e-27	2
C1QA	15.658143	7.9486446	7.028102220046496e-28	3.818946721039971e-26	2
FCGR3A	14.655344	7.966288	5.917105339483343e-26	2.6992227443692537e-24	2
HLA-DQA1	14.189241	5.895684	3.413466129031163e-25	1.4171637468281063e-23	2
MARCKS	14.168552	3.1698465	4.0966737351638253e-26	1.8921511814287915e-24	2
FCGR2A	13.985536	6.8755484	1.196670841920684e-24	4.6544197483125553e-23	2
C1QB	13.713472	7.7415757	4.20824621117725e-24	1.5244578186568565e-22	2
SGK1	13.546221	4.3498178	4.2597178227637236e-24	1.5281220733118406e-22	2
MS4A6A	13.387787	7.2479353	1.8041464199395483e-23	6.230206562314608e-22	2
CD83	13.13993	4.757548	3.562157883649805e-23	1.1751940517933955e-21	2
RGS1	13.096941	4.6085663	2.782858209544928e-23	9.34787371297137e-22	2
C1orf162	13.02649	6.715215	9.194947211237315e-23	2.9289077539243e-21	2
SPI1	12.936116	6.0953493	1.3490288338762848e-22	4.188791211069641e-21	2
LCP1	12.690723	3.7754042	1.4450682647663265e-22	4.4496060319263134e-21	2
C1QC	12.424876	7.2933664	1.6543192543990973e-21	4.596022289477191e-20	2
PLAUR	12.301553	3.824465	1.384338066734309e-21	3.875097845896418e-20	2
HLA-DMB	12.2602415	5.0478325	2.790116535982353e-21	7.47063811627159e-20	2
TNFSF13B	12.125839	4.938893	4.754986983033426e-21	1.2286487344271687e-19	2
SAMHD1	12.01374	4.0437016	6.21350308470228e-21	1.594367631803814e-19	2
CYBB	11.929782	7.0026307	1.7168104773620172e-20	4.229076475901769e-19	2
ZEB2	11.690839	4.2978344	3.246913888592026e-20	7.841403149246756e-19	2
APOE	11.613269	5.1566377	5.664407919636575e-20	1.3590900820166978e-18	2
LST1	11.576632	6.8268147	9.358120609171591e-20	2.1747330598043415e-18	2
LGALS1	11.492343	2.3106685	4.076102026867968e-21	1.0606476753012071e-19	2
HLA-DRB5	11.478732	4.5161777	9.920803296012113e-20	2.291085511172797e-18	2
MS4A7	11.470796	4.1334977	8.740917135550763e-20	2.0571776315834438e-18	2
APOC1	11.388919	6.0926805	2.1610617071331444e-19	4.7249248567201e-18	2
CLEC7A	11.378421	5.3222876	2.182808110507981e-19	4.744397628427641e-18	2
EMP3	11.312033	2.8525417	6.092710028094344e-20	1.452423455084426e-18	2
PTPRC	11.167818	3.3759067	1.6618617413665684e-19	3.744255569725287e-18	2
RNASE1	11.102491	6.1743827	8.710020496842315e-19	1.8073982146560955e-17	2
KCTD12	11.069379	4.5367575	8.074369063922091e-19	1.6855815644741315e-17	2
FYB1	10.973697	4.0083604	8.990934834740304e-19	1.8456391230203013e-17	2
SPP1	10.941049	6.852426	1.9492383142966267e-18	3.9143671583293675e-17	2
CTSL	10.84409	3.632819	1.508821427480212e-18	3.046500095376712e-17	2
FPR3	10.815527	7.244261	3.754372757243186e-18	7.301267020007142e-17	2
MNDA	10.694622	6.9361787	6.544176420033468e-18	1.2464294779393643e-16	2
COTL1	10.687035	2.9958365	2.056534456458648e-18	4.1075107116836243e-17	2
MSR1	10.625375	8.420572	9.665146015510078e-18	1.7679561647183038e-16	2
LY96	10.586834	4.654399	9.373531247868719e-18	1.7379968935354963e-16	2
PLEK	10.585472	5.2718525	9.449719553167352e-18	1.7379968935354963e-16	2
LILRB4	10.545155	6.6262803	1.3428198442096163e-17	2.340433643563459e-16	2
ALOX5AP	10.528591	4.195544	9.454326809218803e-18	1.7379968935354963e-16	2
CD53	10.484105	4.1107855	1.2308917702166935e-17	2.1866082168032127e-16	2
TGFBI	10.475083	4.006549	1.2852879831623579e-17	2.250776823594745e-16	2
GPNMB	10.353668	4.3404574	2.7005401222750112e-17	4.598385139081183e-16	2
CD86	10.334197	6.3916564	3.706655400397251e-17	6.253923152725043e-16	2
CCL3	10.330584	6.0212755	3.5652440148970375e-17	6.042925061947043e-16	2
FGL2	10.285158	5.6770306	4.447556524808639e-17	7.436073013198154e-16	2
RNASE6	10.274828	6.1748896	4.881262375693252e-17	8.088010976765277e-16	2
TXNIP	10.271516	2.330374	1.0181516864963066e-17	1.853236690445248e-16	2
OLR1	10.218166	8.458047	6.957110932715174e-17	1.1080398662233866e-15	2
LYN	10.196469	4.111054	5.71383430060443e-17	9.259920061725162e-16	2
GLUL	10.011053	2.4434466	7.141663958366044e-17	1.1325514303074047e-15	2
CLEC2B	9.987427	3.1326113	9.140860918853677e-17	1.437254514687844e-15	2
C15orf48	9.8460045	3.7567663	2.8435619080538487e-16	4.3417195249004015e-15	2
BCL2A1	9.818697	5.609376	4.484493937842889e-16	6.708585060862135e-15	2
GPR183	9.712136	5.1918674	7.085736202012151e-16	1.047271810657396e-14	2
CTSC	9.546978	3.098255	1.0477818485109707e-15	1.5242338308063138e-14	2
CD4	9.545636	5.177962	1.6320361091378939e-15	2.2756126125526484e-14	2
LGALS9	9.538456	3.950226	1.4221790035674122e-15	2.0057066481609115e-14	2
HCST	9.534027	3.1979253	9.147396176576594e-16	1.3412551139861316e-14	2
SERPINA1	9.458799	3.4983492	1.7671514699888022e-15	2.4455523152092224e-14	2
SLC16A3	9.433057	3.857293	2.430210351764178e-15	3.325787870284681e-14	2
MAFB	9.43232	2.5784178	1.1279287380424456e-15	1.6280065183854828e-14	2
ADAP2	9.398098	7.022974	3.727594448591859e-15	4.9015877179882273e-14	2
C3AR1	9.373271	6.2447953	4.091686416363267e-15	5.3612699675398124e-14	2
SOD2	9.25238	2.5342624	2.6538631901932693e-15	3.605156061677989e-14	2
LAIR1	9.189976	5.464055	9.669181653994609e-15	1.2111059732715282e-13	2
SNX10	9.050396	3.4977708	1.5471458919892713e-14	1.8867010134984678e-13	2
TREM2	8.890632	7.8611307	4.494993404020344e-14	5.272698612017514e-13	2
