names	scores	logFC	pvals	adj_pvals	cluster
CTTN	56.696342	2.886336	1.8563418e-316	3.881768064e-315	46
MRFAP1	56.22481	1.8102865	1.0777214e-316	2.25642032e-315	46
SNHG25	56.20585	3.7137508	1.39415692324e-312	2.895443799531e-311	46
PARK7	56.187202	1.4686791	6.17003e-318	1.29586087e-316	46
C7orf73	55.877434	6.4545794	7.5434350216725e-310	1.5589300928029454e-308	46
C19orf60	55.873753	6.9715886	9.14345161375037e-310	1.8884267892660167e-308	46
BCAM	55.48986	3.15306	3.975811645570916e-309	8.181147141355466e-308	46
HSP90AA1	55.398872	1.4624251	2.1453064688e-313	4.46098724551e-312	46
PTOV1	54.87343	3.1849976	4.1494144629698407e-305	8.404318267057453e-304	46
ZC2HC1A	54.833824	4.480779	4.9570712687508645e-304	9.997903032181163e-303	46
MORF4L2	54.55698	1.5967294	5.596282463948503e-308	1.1487448599956962e-306	46
APOA1BP	54.356987	6.7602296	8.678656271220497e-301	1.7275418990682891e-299	46
SNHG8	54.322605	1.8395181	5.742620945532309e-305	1.1617204410983063e-303	46
MMP24-AS1	54.260216	7.594066	3.753700357564446e-300	7.44546798894554e-299	46
HSPD1	53.842873	1.7153198	6.32099491856841e-303	1.2695358716389406e-301	46
RAP1B	53.74856	1.9528131	4.896878832402074e-301	9.759133269019487e-300	46
YWHAE	53.63512	1.4506483	1.4707065447693655e-302	2.950297142231417e-301	46
GATA3	53.380085	2.0909154	2.0396367910338862e-300	4.05281146967225e-299	46
RPS17	53.324062	1.1073653	2.158396101848165e-309	4.446852804182389e-308	46
RNASET2	53.182865	2.1717987	2.8113120795383104e-297	5.536947648842893e-296	46
BTF3	53.08371	1.0560024	3.760803511533566e-300	7.455148379453153e-299	46
KRR1	53.076263	2.7631388	1.0304231840333202e-294	2.0199546473209582e-293	46
NPM1	52.89498	1.285007	1.4612437124884914e-298	2.8881305457027984e-297	46
C17orf89	52.827747	7.2561045	1.4968725455082859e-291	2.8954211100861256e-290	46
CRNDE	52.63461	2.2180707	3.585122835096869e-293	6.999336729451925e-292	46
PAIP1	52.58254	2.4127114	3.2585732772854264e-292	6.324988790129079e-291	46
RERG	52.52106	3.484441	1.2472403120599554e-290	2.4000968047506004e-289	46
LSM1	52.426376	2.136398	3.6524009924461907e-292	7.08122437500796e-291	46
PVRL2	52.34778	7.049003	1.1854980836626469e-288	2.256685086499934e-287	46
APMAP	52.217186	2.5891461	9.373622272987318e-290	1.7976024280061045e-288	46
ATP5J2	51.958996	5.476725	1.3285445326635478e-286	2.5147128764146758e-285	46
GPX1	51.55855	3.0652635	1.4636540863614585e-286	2.7688901134038173e-285	46
SARAF	51.461758	1.5549132	8.992871864545505e-289	1.714780643597048e-287	46
CCNI	51.375504	1.3655955	3.5380465070080695e-288	6.723491098671822e-287	46
MYC	51.372795	2.9146895	2.3637480799543198e-284	4.431664301271539e-283	46
RHOH	51.261066	3.5480454	5.357182640606273e-283	9.982514608254166e-282	46
PRDX4	51.213543	1.9432344	4.9406199789338875e-285	9.288864053442911e-284	46
EIF6	51.117336	1.8532702	1.2209956987270942e-284	2.291741283212393e-283	46
EMG1	50.935196	2.6561084	1.162226740995153e-281	2.1549058662088683e-280	46
CTSF	50.84736	2.9847772	1.115811193174166e-280	2.0563419357282805e-279	46
RTN3	50.73251	2.1078093	2.7393537456156036e-281	5.065086217292887e-280	46
SCOC	50.52061	2.1215327	3.1249520878912875e-280	5.740088607883991e-279	46
MRPL51	50.422874	1.3878244	3.990320345502404e-282	7.41903185745544e-281	46
C21orf59	50.168724	7.327064	2.9466009636766606e-275	5.353843061900263e-274	46
MLPH	49.679737	2.4858036	2.2967566061841067e-274	4.155097806257882e-273	46
TBC1D15	49.39147	3.3148618	2.8120762996147064e-271	5.041146508037245e-270	46
NDUFAF6	49.07936	2.8489454	1.1573322468499864e-269	2.06369382730438e-268	46
NDUFA5	48.94444	1.9212695	2.099891029166878e-270	3.7543947233095024e-269	46
FRS2	48.93655	3.5696764	2.810920674135212e-268	4.988417477839637e-267	46
SLC39A6	48.769386	2.353736	2.759257884607637e-269	4.907119231581376e-268	46
VIMP	48.624077	6.2606883	1.0632289792673702e-265	1.8729917643701085e-264	46
ATPIF1	48.453358	5.9907885	1.1637601167936603e-264	2.0404431822988062e-263	46
KMT5B	48.239456	2.994279	3.4789261517329758e-264	6.0742666348399655e-263	46
HERPUD1	47.822357	2.0395281	3.302202220417117e-263	5.750735445223807e-262	46
GAPDH	47.818092	1.6005731	2.5504050388375974e-263	4.4437992419559406e-262	46
LAPTM4B	47.73701	2.2098787	2.961735374062439e-262	5.131175939123361e-261	46
STRAP	47.603584	1.9155706	1.3878439801739986e-261	2.3957629922293405e-260	46
SCAND1	47.50909	1.4757007	1.4924267910154637e-262	2.5869502324263397e-261	46
ANKRD30A	47.429993	2.256927	3.514824542538828e-261	6.0581053433347805e-260	46
MYEOV2	47.37275	6.0022416	7.944591459753377e-258	1.3547002651326286e-256	46
TSEN34	47.3547	1.9015465	1.2466545388921015e-260	2.141015867331284e-259	46
SOD1	47.138714	1.0744542	4.475965480544205e-263	7.7827038975082e-262	46
FOXA1	47.10029	2.423566	7.920151720946166e-258	1.351219780632021e-256	46
CITED2	46.918797	3.174628	1.19679804576113e-255	2.0294137134921166e-254	46
GBAS	46.702908	6.625067	1.6954614903740402e-253	2.8476451601720424e-252	46
LINC00493	46.535812	6.1073813	1.7887230052675064e-252	2.9893153123905047e-251	46
SELK	46.516533	6.213858	2.4262564326892685e-252	4.0507250875475735e-251	46
RAB21	46.43947	2.705769	6.143987463378708e-253	1.0293480694764497e-251	46
