Cluster 0: HLA-DRA, TYROBP, CD74, FCER1G, SRGN, HLA-DPA1, HLA-DRB1, AIF1, HLA-DPB1, LAPTM5
Cluster 49: KRT17, KRT14, KRT5, SFN, TPM2, CRYAB, TAGLN, CAV1, MT1X, KRT7
Cluster 50: CD74, HLA-DRA, JCHAIN, GZMB, TCF4, PLAC8, HLA-DPA1, ALOX5AP, IRF7, IRF8
Cluster 51: MTCO2P12, H3-3A, ALDOA, MTRNR2L12, H2AJ, H3-3B, RBIS, SEPTIN2, H1-0, CD24
Cluster 52: H3-3A, ALDOA, RBIS, IGF2, H3-3B, BGN, SDC2, FABP5, NDRG1, S100A1
Cluster 53: CD74, MTCO2P12, HLA-DRA, HLA-DPA1, HLA-DPB1, H3-3B, HLA-DRB1, CD37, H3-3A, HLA-DRB5
Cluster 54: GNB2L1, ATP5E, SPARC, ATP5L, NGFRAP1, ATP5G2, IGFBP4, TCEB2, PTRF, ATP5D
Cluster 55: MTCO2P12, HSPG2, EGFL7, IGFBP7, SPARC, H3-3A, PECAM1, ENG, H3-3B, A2M
Cluster 56: COL1A1, COL1A2, COL3A1, SPARC, FN1, LUM, COL6A1, COL6A3, COL5A2, KRT19
Cluster 57: H3-3B, MTCO2P12, TPSAB1, MS4A2, CPA3, H3-3A, TPSB2, GATA2, TYROBP, RAC2
Cluster 58: SRGN, FCER1G, LAPTM5, SAMSN1, TYROBP, RGS2, RGS1, NFKBIA, ANXA1, PLIN2
Cluster 59: GNB2L1, ATP5E, ATP5G2, TCEB2, ATP5L, ATP5J, USMG5, ALDOA, AZGP1, ATP5J2
Cluster 60: TAGLN, GNB2L1, ACTA2, TPM2, MYL9, ATP5A1, GLT8D2, SELM, CALD1, KRT5
